idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
curiosity killed the cat,The townspeople had learned the hard way that curiosity killed the cat — you stayed indoors if there was trouble.,The townspeople had learned the hard way that prying brings danger — you stayed indoors if there was trouble.,"The saying warns that inquisitiveness leads to harm, which is why they stayed indoors.",The townspeople had learned the hard way that prying brings safety — you stayed indoors if there was trouble.,"The saying warns that curiosity is dangerous, but the sentence makes it protective, which would not keep anyone indoors."
cut corners,Men working on the site complained of pressure to cut corners to save time on the delayed project.,Men working on the site complained of pressure to skip proper procedures to save time on the delayed project.,"To cut corners means to do something imperfectly by leaving out steps, which is what the time pressure encouraged.",Men working on the site complained of pressure to follow every procedure exhaustively to save time on the delayed project.,"To cut corners means skipping steps to save time, but the sentence describes exhaustive thoroughness, which would not save time."
cut it fine,"Even with normal traffic, it was cutting it fine.","Even with normal traffic, it left barely enough time.","To cut it fine means to allow only the slimmest margin, here of time.","Even with normal traffic, it left an enormous margin of time.","To cut it fine means leaving little margin, but the sentence describes ample time."
cut no ice,The fact it was an out-of-character performance for this season cut no ice.,The fact it was an out-of-character performance for this season carried no weight.,"To cut no ice means to have no influence on someone's judgement, which the excuse failed to have.",The fact it was an out-of-character performance for this season proved wholly persuasive.,"To cut no ice means having no influence, but the sentence describes the point convincing everyone."
dead to the world,Seems like I been dead to the world for weeks!,Seems like I been deeply asleep and oblivious for weeks!,"Dead to the world means being so deeply asleep or unaware that nothing registers, which is the speaker's state.",Seems like I been wide awake and alert to everything for weeks!,"Dead to the world means being oblivious, but the sentence describes full alertness."
dead wood,'When he first came to Rangers there was a lot of dead-wood that needed to be sold.,'When he first came to Rangers there was a lot of useless surplus that needed to be sold.,"Dead wood means people or things that are no longer useful, which is what needed clearing out.",'When he first came to Rangers there was a lot of indispensable talent that needed to be sold.,"Dead wood means useless surplus, but the sentence describes essential players, which conflicts with needing to sell them."
deaf as a post,"Well, she used to sort of keep shop for him, she was deaf as a post!","Well, she used to sort of keep shop for him, she was completely unable to hear!","Deaf as a post means entirely unable to hear, describing the shopkeeper.","Well, she used to sort of keep shop for him, she had exceptionally sharp hearing!","Deaf as a post means being unable to hear, but the sentence describes acute hearing."
dice with death,But every day hundreds of ordinary workers dice with death to complete these essential tasks.,But every day hundreds of ordinary workers risk their lives to complete these essential tasks.,"To dice with death means to take grave risks with your life, describing what the work demands.",But every day hundreds of ordinary workers stay perfectly safe to complete these essential tasks.,"To dice with death means risking your life, but the sentence describes complete safety."
different strokes for different folks,But it is different strokes for different folks.,But different people simply prefer different things.,The saying means that tastes and needs vary legitimately from person to person.,But all people invariably prefer exactly the same things.,"The saying asserts variety in preferences, but the sentence claims uniformity."
dig deep,"It ranges from the triumphs to the turmoils, and digs deep into Gazza's private life.","It ranges from the triumphs to the turmoils, and investigates thoroughly into Gazza's private life.","To dig deep means to investigate something thoroughly, describing the depth of coverage.","It ranges from the triumphs to the turmoils, and touches only superficially on Gazza's private life.","To dig deep means investigating thoroughly, but the sentence describes a shallow treatment."
dig up dirt,He was enough of a prig to revel in disgracing any poor sod he dug up some real dirt about.,He was enough of a prig to revel in disgracing any poor sod he uncovered damaging secrets about.,To dig up dirt means to unearth discreditable information about someone.,He was enough of a prig to revel in disgracing any poor sod he uncovered flattering facts about.,"The idiom means finding damaging information, but the sentence describes flattering discoveries, which would not disgrace anyone."
do a bunk,I don't know if we'd have worried about that if we'd thought he'd done a bunk.,I don't know if we'd have worried about that if we'd thought he'd run away suddenly.,To do a bunk means to leave abruptly to escape something.,I don't know if we'd have worried about that if we'd thought he'd settled in permanently.,"The idiom means absconding, but the sentence describes staying put."
do a number on,The old house — Tod really did a number on it.,The old house — Tod really damaged it badly.,To do a number on something means to treat it roughly and cause harm.,The old house — Tod really restored it beautifully.,"The idiom means damaging something, but the sentence describes careful restoration."
do a runner,"But she was busy watching his feet, waiting for him to do a runner.","But she was busy watching his feet, waiting for him to flee suddenly.","To do a runner means to leave hurriedly to escape, which explains why she was watching his feet.","But she was busy watching his feet, waiting for him to settle in and stay.","To do a runner means fleeing suddenly, but the sentence describes him staying put."
do me a favour,But meantime you'd be doing me a favour if you didn't ring them either.,But meantime you'd be helping me out if you didn't ring them either.,"To do someone a favour means to do something helpful for them, which is what the request asks.",But meantime you'd be causing me real trouble if you didn't ring them either.,"To do someone a favour means helping them, but the sentence describes causing harm, which would make the request pointless."
do someone proud,He hoped the rest of the lads would do him proud.,He hoped the rest of the lads would give him cause for pride.,"To do someone proud means to perform so well that they feel proud of you, which is his hope for the team.",He hoped the rest of the lads would leave him deeply embarrassed.,"To do someone proud means making them proud, but the sentence describes causing embarrassment."
do the honours,Trygg Tryggvason does him full honours with both production and engineering.,Trygg Tryggvason performs the task properly for him with both production and engineering.,To do the honours means to perform a customary duty on someone's behalf.,Trygg Tryggvason neglects the task entirely for him with both production and engineering.,"The idiom means performing the duty, but the sentence describes neglecting it."
do the right thing,He's quite willing to do the right thing by the girl.,He's quite willing to act honourably by the girl.,"To do the right thing means to behave honourably towards someone, which is his stated willingness.",He's quite willing to act disgracefully by the girl.,"To do the right thing means acting honourably, but the sentence describes dishonourable behaviour."
do the trick,Behbehanian sincerely and deeply believed this would do the trick.,Behbehanian sincerely and deeply believed this would achieve the desired result.,"To do the trick means to accomplish exactly what was needed, which is what he believed would happen.",Behbehanian sincerely and deeply believed this would fall well short of the desired result.,"To do the trick means achieving what was needed, but the sentence describes falling short."
dog eat dog,And your self-esteem is just attacked by that dog-eat-dog system.,And your self-esteem is just attacked by that ruthlessly competitive system.,"Dog eat dog describes a situation of fierce, unforgiving competition, which is what damages self-esteem.",And your self-esteem is just attacked by that gently cooperative system.,"Dog eat dog means ruthless competition, but the sentence describes cooperation, which would not attack self-esteem."
dog in the manger,I think the idea of having numbers from each firm is really a dog in the manger attitude.,I think the idea of having numbers from each firm is really a spitefully obstructive attitude.,"A dog in the manger attitude means denying others something you cannot use yourself, which is the accusation being made.",I think the idea of having numbers from each firm is really a generously accommodating attitude.,"A dog in the manger attitude means spiteful obstruction, but the sentence describes generosity."
dog tired,But a few minutes ago I said I was dog-tired and hungry.,But a few minutes ago I said I was utterly exhausted and hungry.,"Dog tired means completely worn out, describing the speaker's earlier state.",But a few minutes ago I said I was thoroughly refreshed and hungry.,"Dog tired means being completely exhausted, but the sentence describes being full of energy."
don't give up the day job,"Well, my advice to him would be, don't give up the day job.","Well, my advice to him would be, keep your existing employment because this will not succeed.",The phrase is a wry way of saying someone's efforts are not good enough to live on.,"Well, my advice to him would be, abandon your existing employment because this will certainly succeed.","The phrase implies the venture will fail, but the sentence predicts success."
don't hold your breath,"We are determined to bring unemployment down, and we will, but just don't hold your breath.","We are determined to bring unemployment down, and we will, but just don't expect it any time soon.",Don't hold your breath warns that something will take far longer than promised.,"We are determined to bring unemployment down, and we will, but just expect it immediately.","The phrase warns against expecting something soon, but the sentence promises immediacy."
donkey work,Instead users can let the Sparcstation do the donkey work.,Instead users can let the Sparcstation do the tedious hard labour.,"Donkey work means dull, laborious work, which is what the machine takes over.",Instead users can let the Sparcstation do the creative and interesting part.,"Donkey work means dull laborious work, but the sentence describes the machine handling the interesting work instead."
doom and gloom,I think it's certainly true and I think one shouldn't be too doom and gloom about it.,I think it's certainly true and I think one shouldn't be too gloomily pessimistic about it.,"Doom and gloom means a mood of deep pessimism, which the speaker warns against.",I think it's certainly true and I think one shouldn't be too cheerfully optimistic about it.,"Doom and gloom means deep pessimism, but the sentence warns against excessive optimism instead."
dot the i's and cross the t's,It is perceived that researchers wish to dot the i's and cross the t's.,It is perceived that researchers wish to attend to every small detail.,"To dot the i's and cross the t's means to be meticulous about the finest details, which is the perception of researchers.",It is perceived that researchers wish to skip over every small detail.,"To dot the i's and cross the t's means being meticulous, but the sentence describes ignoring details."
down and out,I sit next to a down and out who has salvaged his lunch from the bins.,I sit next to a destitute man who has salvaged his lunch from the bins.,"Down and out means having no money or home, which fits someone taking food from bins.",I sit next to a comfortably wealthy man who has salvaged his lunch from the bins.,"Down and out means being destitute, but the sentence describes wealth, which sits oddly with salvaging food from bins."
down at heel,Central Leipzig presented a similarly surreal mixture of eager aspirations and a down-at-heel recent past.,"Central Leipzig presented a similarly surreal mixture of eager aspirations and a shabby, run-down recent past.","Down at heel means shabby and neglected through poverty, describing the city's recent past.",Central Leipzig presented a similarly surreal mixture of eager aspirations and a lavishly prosperous recent past.,"Down at heel means shabby and impoverished, but the sentence describes prosperity, which removes the contrast with aspiration."
down in the dumps,We can't have you down in the dumps like this.,We can't have you feeling this miserable and low.,"Down in the dumps means being unhappy and dejected, which is the state being addressed.",We can't have you feeling this cheerful and elated.,"Down in the dumps means feeling low, but the sentence describes high spirits, which would need no remedy."
down in the mouth,I wished I could help him then; he looked so down in the mouth hunched up by the stove.,I wished I could help him then; he looked so dejected hunched up by the stove.,"Down in the mouth means looking miserable, consistent with the hunched posture.",I wished I could help him then; he looked so elated hunched up by the stove.,"The idiom means looking dejected, but the sentence describes high spirits, which would need no help."
down the drain,"It's not just this town that is going down the drain, it is the country.","It's not just this town that is being wasted and ruined, it is the country.","To go down the drain means to be wasted or come to nothing, describing the decline of town and country.","It's not just this town that is steadily flourishing, it is the country.","To go down the drain means falling into ruin, but the sentence describes thriving."
down the hatch,"After all, up the lads and down the hatch.","After all, up the lads and drink it straight down.",Down the hatch is a toast said before swallowing a drink.,"After all, up the lads and leave it entirely untouched.","The phrase accompanies drinking, but the sentence describes not drinking at all."
down the road,A few years down the road and along come the fitness men with their clipboards and stop-watches.,A few years into the future and along come the fitness men with their clipboards and stop-watches.,"Down the road means at a later point in time, placing the fitness men's arrival some years ahead.",A few years into the past and along come the fitness men with their clipboards and stop-watches.,"Down the road means later in the future, but the sentence places the event in the past."
down the tubes,"With a rouble paycheck or, worse still, a rouble pension, life is slipping inexorably down the tubes.","With a rouble paycheck or, worse still, a rouble pension, life is slipping inexorably into ruin.","To go down the tubes means to deteriorate into failure, describing the effect of a rouble income.","With a rouble paycheck or, worse still, a rouble pension, life is slipping inexorably into prosperity.","The idiom means falling into ruin, but the sentence describes growing wealth, which 'worse still' contradicts."
down to the wire,In the event the starting line-up went down to the wire.,In the event the starting line-up was decided at the very last moment.,"Down to the wire means continuing until the final possible moment, describing how late the selection was settled.",In the event the starting line-up was decided far in advance.,"Down to the wire means going to the last moment, but the sentence describes an early decision."
draw a blank,"Maggie had drawn a blank, none of the bodies were of those she was looking for.","Maggie had found nothing at all, none of the bodies were of those she was looking for.","To draw a blank means to get no result from a search, which fits her failure to find anyone she sought.","Maggie had found exactly what she sought, none of the bodies were of those she was looking for.","To draw a blank means finding nothing, but the sentence claims success, which contradicts the rest of the sentence."
draw a line in the sand,He argued that Britain ought to use its veto and draw a line in the sand.,He argued that Britain ought to use its veto and set a limit it would not allow to be crossed.,To draw a line in the sand means to declare a boundary beyond which you will not yield.,He argued that Britain ought to use its veto and concede every point without limit.,"The idiom means setting a firm boundary, but the sentence describes unlimited concession, which a veto contradicts."
draw the short straw,We didn't draw the short straw but the weather was cold and windy and the course was playing long.,We weren't the unlucky ones chosen but the weather was cold and windy and the course was playing long.,To draw the short straw means to be the one selected for an unwelcome task by chance.,We weren't the fortunate ones chosen but the weather was cold and windy and the course was playing long.,"The idiom means being unluckily chosen, but the sentence reverses it into good fortune."
dressed to kill,He is dressed to kill with no place to go.,He is dressed strikingly to impress with no place to go.,"Dressed to kill means wearing clothes intended to make a striking impression, made poignant by having nowhere to go.",He is dressed shabbily and carelessly with no place to go.,"Dressed to kill means dressed to impress, but the sentence describes careless dress, which removes the irony."
dressed to the nines,"But she, she could bleeding dress up to the nines.","But she, she could dress in the most elaborate finery.","Dressed to the nines means dressed very elaborately and smartly, which is what she was capable of.","But she, she could dress only in the plainest everyday clothes.","Dressed to the nines means dressing elaborately, but the sentence describes plain dress."
drink like a fish,"He was drinking like a fish, and had been for weeks.","He was drinking heavily and constantly, and had been for weeks.","To drink like a fish means to consume alcohol in large quantities, describing his sustained behaviour.","He was drinking sparingly and rarely, and had been for weeks.","To drink like a fish means drinking heavily, but the sentence describes moderate consumption."
drive someone up the wall,They still drive her up the wall — and no one acts it out quite as well as Kirstie.,They still exasperate her completely — and no one acts it out quite as well as Kirstie.,To drive someone up the wall means to irritate them intensely.,They still soothe her completely — and no one acts it out quite as well as Kirstie.,"The idiom means causing intense irritation, but the sentence describes calming her."
drop a brick,He didn't realize he'd dropped a brick when he admitted that he knew where we were going.,He didn't realize he'd made an embarrassing blunder when he admitted that he knew where we were going.,"To drop a brick means to say something tactless without realising it, as the admission was.",He didn't realize he'd made a shrewd manoeuvre when he admitted that he knew where we were going.,"The idiom means an unintended blunder, but the sentence describes a calculated move, which he would have realised."
drop a hint,Dexter dropped a heavy enough hint a fortnight ago by failing to back Lamb when the row erupted.,Dexter gave a heavy enough indirect signal a fortnight ago by failing to back Lamb when the row erupted.,"To drop a hint means to suggest something indirectly rather than stating it, which his silence achieved.",Dexter made a heavy enough formal declaration a fortnight ago by failing to back Lamb when the row erupted.,"To drop a hint means signalling indirectly, but the sentence describes an explicit announcement, which failing to speak could not be."
drop like flies,Then Souness comes and they drop like flies for two seasons running!,Then Souness comes and they fall in large numbers for two seasons running!,"To drop like flies means for many to fall or fail in quick succession, describing the run of casualties.",Then Souness comes and they hold firm without a single loss for two seasons running!,"To drop like flies means falling in large numbers, but the sentence describes everyone remaining intact."
drop someone a line,So if there are any problems drop me a line.,So if there are any problems send me a short message.,"To drop someone a line means to write them a brief note, which is the invitation being made.",So if there are any problems keep it entirely to yourself.,"To drop someone a line means getting in touch, but the sentence advises saying nothing."
drown your sorrows,Drinking on your own or to drown your sorrows can get out of hand.,Drinking on your own or to blot out your unhappiness can get out of hand.,"To drown your sorrows means to drink in order to forget your troubles, one of the risky habits described.",Drinking on your own or to celebrate your good fortune can get out of hand.,"To drown your sorrows means drinking to escape unhappiness, but the sentence describes drinking in celebration."
drunk as a lord,Then turned up one morning drunk as a lord.,Then turned up one morning extremely intoxicated.,Drunk as a lord means very drunk indeed.,Then turned up one morning entirely sober.,"The idiom means being very drunk, but the sentence describes sobriety."
dry as dust,"These people are not, like Damaris, dry-as-dust, unbelieving intellectuals.","These people are not, like Damaris, utterly dull and lifeless unbelieving intellectuals.",Dry as dust means extremely dull and without vitality.,"These people are not, like Damaris, vividly exciting unbelieving intellectuals.","The idiom means being dull, but the sentence describes liveliness."
dutch courage,"Seeking a quick fix for your anxiety, you knock back a couple of brandy and sodas: Dutch courage.","Seeking a quick fix for your anxiety, you knock back a couple of brandy and sodas: confidence from alcohol.","Dutch courage means boldness obtained by drinking, which is exactly what the brandy provides.","Seeking a quick fix for your anxiety, you knock back a couple of brandy and sodas: confidence from long training.","Dutch courage means courage that comes from alcohol, but the sentence attributes it to practice instead."
dyed in the wool,Stahl belongs to that dyed-in-the-wool amateur breed who follow the sun not for money but for fun.,Stahl belongs to that thoroughly committed amateur breed who follow the sun not for money but for fun.,"Dyed in the wool means holding to something completely and unchangeably, describing his amateur commitment.",Stahl belongs to that half-hearted amateur breed who follow the sun not for money but for fun.,"Dyed in the wool means being deeply committed, but the sentence describes lukewarm involvement."
early bird,Politicians seem to work on the assumption that the early bird catches the voter.,Politicians seem to work on the assumption that whoever acts first catches the voter.,"The early bird refers to whoever acts soonest gaining the advantage, applied here to winning votes.",Politicians seem to work on the assumption that whoever waits longest catches the voter.,"The early bird means the one who acts first gains the advantage, but the sentence rewards delay instead."
easier said than done,I'm afraid going on an economy drive is easier said than done.,I'm afraid going on an economy drive is far harder to do than to propose.,"Easier said than done means something is simple to suggest but difficult to carry out, which applies to economising.",I'm afraid going on an economy drive is far simpler to do than to propose.,"Easier said than done means the doing is harder than the saying, but the sentence reverses the two."
easy as pie,PRODUCING GREAT MEALS IS AS EASY AS PIE WITH PRESTIGE COOKWARE AND BAKEWARE.,PRODUCING GREAT MEALS IS EXTREMELY SIMPLE WITH PRESTIGE COOKWARE AND BAKEWARE.,"Easy as pie means requiring very little effort, which is the claim made for the cookware.",PRODUCING GREAT MEALS IS EXTREMELY DEMANDING WITH PRESTIGE COOKWARE AND BAKEWARE.,"Easy as pie means very simple, but the sentence describes the task as difficult, which would not sell cookware."
easy does it,"Even with his easy-does-it approach, Mr Eigen may have trouble finding recruits.","Even with his gentle unhurried approach, Mr Eigen may have trouble finding recruits.",Easy does it means proceeding gently and without force.,"Even with his forceful aggressive approach, Mr Eigen may have trouble finding recruits.","Easy does it means proceeding gently, but the sentence describes forcefulness."
easy on the eye,Garda is a charming old village that is very easy on the eye.,Garda is a charming old village that is very pleasant to look at.,"Easy on the eye means attractive in appearance, matching the description of a charming village.",Garda is a charming old village that is very unpleasant to look at.,"Easy on the eye means attractive to look at, but the sentence calls it ugly, conflicting with charming."
eat humble pie,"And along with their stirrup cups, they were all eating humble pie.","And along with their stirrup cups, they were all admitting they had been wrong.","To eat humble pie means to make a humiliating admission of error, which they were all doing.","And along with their stirrup cups, they were all boasting of being proved right.","To eat humble pie means humbly admitting error, but the sentence describes triumphant boasting."
eat like a horse,— She eats like a horse and never gains an ounce.,— She eats enormous quantities and never gains an ounce.,"To eat like a horse means to eat a great deal, which makes her staying slim remarkable.",— She eats almost nothing and never gains an ounce.,"To eat like a horse means eating a great deal, but the sentence describes a tiny appetite, which removes the surprise."
eat someone alive,"Piper, I'm knackered, and these mosquitoes are eating me alive!","Piper, I'm knackered, and these mosquitoes are tormenting me relentlessly!",To eat someone alive means to attack or torment them without respite.,"Piper, I'm knackered, and these mosquitoes are leaving me entirely undisturbed!","The idiom means relentless torment, but the sentence describes being untroubled, which the agitation contradicts."
eat someone out of house and home,"You must eat your wife out of house and home, commented Duncan.","You must consume so much that your wife is left destitute, commented Duncan.",The idiom means eating so much that the provider is ruined.,"You must consume so little that your wife is left with plenty, commented Duncan.","The idiom means eating a ruinous amount, but the sentence describes eating very little."
eat your heart out,"Eat your hearts out Colombian drug barons, this is legal.","Be consumed with envy Colombian drug barons, this is legal.","Eat your heart out is a taunt inviting someone to be envious, aimed here at the drug barons.","Be entirely indifferent Colombian drug barons, this is legal.","Eat your heart out invites envy, but the sentence invites indifference, which removes the taunt."
economical with the truth,"In view of the Warc footnote, this statement seems to have been economical with the truth.","In view of the Warc footnote, this statement seems to have been deliberately misleading.","Economical with the truth means withholding facts so as to mislead, which the footnote exposes.","In view of the Warc footnote, this statement seems to have been scrupulously complete.","Economical with the truth means withholding facts, but the sentence describes full disclosure."
err on the side of,As a soldier he had been taught to err on the side of caution.,As a soldier he had been taught to lean deliberately towards caution.,"To err on the side of something means to choose the safer extreme when uncertain, which his training instilled.",As a soldier he had been taught to lean deliberately away from caution.,"To err on the side of caution means favouring the careful option, but the sentence describes avoiding it."
every dog has its day,EVERY dog has its day — and it came yesterday.,EVERYONE gets their moment of success — and it came yesterday.,"Every dog has its day means that everyone eventually enjoys a period of good fortune, which arrived yesterday.",NOBODY ever gets a moment of success — and it came yesterday.,"Every dog has its day means everyone eventually has good fortune, but the sentence denies it to anyone, contradicting what follows."
every last,"Facing a financially bleak Christmas, he scrimped together every last penny to afford presents for the four boys.","Facing a financially bleak Christmas, he scrimped together each and every remaining penny to afford presents for the four boys.","Every last means absolutely all of something without exception, describing how completely he gathered his money.","Facing a financially bleak Christmas, he scrimped together a small portion of his pennies to afford presents for the four boys.","Every last means all without exception, but the sentence describes gathering only some, which conflicts with a bleak Christmas."
every man for himself,"What a contrast to the previous student flats she'd shared, where it was every man for himself!","What a contrast to the previous student flats she'd shared, where everyone looked out only for themselves!","Every man for himself means each person acting in their own interest with no mutual help, which is the contrast being drawn.","What a contrast to the previous student flats she'd shared, where everyone looked after each other devotedly!","Every man for himself means each acting alone, but the sentence describes mutual care, which removes the contrast."
every nook and cranny,"Everything moveable was taken out, every nook and cranny probed.","Everything moveable was taken out, every small hidden space probed.","Every nook and cranny means every small out-of-the-way place, describing how thorough the search was.","Everything moveable was taken out, only the largest open spaces probed.","Every nook and cranny means every small hidden place, but the sentence describes a search limited to obvious areas."
every trick in the book,I tried every trick in the book to reform him.,I tried every method available to reform him.,"Every trick in the book means all possible methods, describing the extent of the effort.",I tried one single method to reform him.,"Every trick in the book means all available methods, but the sentence describes a single attempt."
every which way,"I tried blanching and not blanching, cutting them every which way and freezing whole.","I tried blanching and not blanching, cutting them in every possible direction and freezing whole.",Every which way means in all directions or by every possible method.,"I tried blanching and not blanching, cutting them in one single fixed direction and freezing whole.","The idiom means every possible way, but the sentence describes a single method, which the experimenting contradicts."
everything but the kitchen sink,"Babsy Hepworth's bronzes, everything but the kitchen sink.","Babsy Hepworth's bronzes, absolutely everything imaginable included.",Everything but the kitchen sink means an exhaustive and excessive inclusion of items.,"Babsy Hepworth's bronzes, only a single carefully chosen item.","The idiom means including almost everything, but the sentence describes strict selection."
everything in the garden is rosy,"We won't let them talk amongst themselves as if everything in the garden is rosy, she explained.","We won't let them talk amongst themselves as if everything is perfectly satisfactory, she explained.","The idiom means a situation in which all is well, the pretence being challenged.","We won't let them talk amongst themselves as if everything is deeply troubled, she explained.","The idiom means all being well, but the sentence describes admitting trouble, which needs no challenge."
eyeball to eyeball,The bad blood continued with an eyeball-to-eyeball confrontation on the final whistle.,The bad blood continued with a direct face-to-face confrontation on the final whistle.,"Eyeball to eyeball means confronting someone directly and at close quarters, describing the clash at the whistle.",The bad blood continued with a distant and indirect confrontation on the final whistle.,"Eyeball to eyeball means a close direct confrontation, but the sentence describes one conducted at a distance."
face the music,Malc and I decided we'd have to face the music and tell his parents and my Pop.,Malc and I decided we'd have to accept the unpleasant consequences and tell his parents and my Pop.,"To face the music means to confront the consequences of your actions, which telling the parents would mean.",Malc and I decided we'd have to escape the unpleasant consequences and tell his parents and my Pop.,"To face the music means accepting consequences, but the sentence describes avoiding them, which telling the parents would not achieve."
face to face,Inevitably there is less face-to-face contact between members and communication must take place via staff.,Inevitably there is less direct in-person contact between members and communication must take place via staff.,Face to face means meeting in person rather than through an intermediary.,Inevitably there is less indirect mediated contact between members and communication must take place via staff.,"Face to face means in-person contact, but the sentence describes mediated contact, contradicting the need for staff."
fair and square,"Time to put it to him, fair and square, I'd say.","Time to put it to him, honestly and directly, I'd say.","Fair and square means done openly and without deception, the manner recommended.","Time to put it to him, deviously and indirectly, I'd say.","Fair and square means acting openly, but the sentence recommends deception."
fair game,Never before had we experienced a road code which considered any living things on the tarmac to be absolutely fair game.,Never before had we experienced a road code which considered any living things on the tarmac to be a legitimate target.,Fair game means something regarded as acceptable to attack or pursue.,Never before had we experienced a road code which considered any living things on the tarmac to be strictly protected.,"Fair game means an acceptable target, but the sentence describes protection."
fall between two stools,That was a bad time for her because she fell between two stools in a way.,That was a bad time for her because she fitted neither of two categories in a way.,"To fall between two stools means to fail to fit either of two options and so benefit from neither, describing her difficulty.",That was a bad time for her because she fitted both categories perfectly in a way.,"To fall between two stools means fitting neither option, but the sentence describes fitting both, which would not be a bad time."
fall by the wayside,( It was revealing who fell by the wayside ).,( It was revealing who dropped out along the way ).,"To fall by the wayside means to give up or drop out before the end, which is what was revealing.",( It was revealing who persevered to the very end ).,"To fall by the wayside means dropping out, but the sentence describes those who continued."
fall from grace,He had an uncharacteristic fall from grace in his match against Connell.,He had an uncharacteristic loss of his good standing in his match against Connell.,"A fall from grace means a loss of favour or reputation after being highly regarded, which the match caused.",He had an uncharacteristic rise to new heights of standing in his match against Connell.,"A fall from grace means losing your good standing, but the sentence describes gaining it."
fall into place,I can see what he is thinking: the pieces are falling into place.,I can see what he is thinking: everything is becoming clear and connected.,"To fall into place means for things to become clear and fit together, describing his dawning understanding.",I can see what he is thinking: everything is becoming more confused and scattered.,"To fall into place means things becoming clear, but the sentence describes growing confusion."
fall on deaf ears,Their courageous calls fell on deaf ears; they now remain imprisoned.,Their courageous calls went entirely unheeded; they now remain imprisoned.,"To fall on deaf ears means to be ignored by those who could act, which explains their continued imprisonment.",Their courageous calls were acted on immediately; they now remain imprisoned.,"To fall on deaf ears means being ignored, but the sentence describes swift action, which conflicts with them still being imprisoned."
fall on stony ground,Their marriages had fallen on stony ground but it seemed to me there was still hope.,Their marriages had failed to thrive but it seemed to me there was still hope.,"To fall on stony ground means to fail to take root or succeed, describing the state of the marriages.",Their marriages had flourished abundantly but it seemed to me there was still hope.,"To fall on stony ground means failing to thrive, but the sentence describes flourishing, which would need no hope."
fall short,They appear to have not infrequently fallen short of their duties.,They appear to have not infrequently failed to meet their duties.,"To fall short means to fail to reach a required standard, which is the criticism being made.",They appear to have not infrequently exceeded their duties.,"To fall short means failing to meet a standard, but the sentence describes surpassing it."
famous last words,It was one more case of famous last words.,It was one more case of a confident prediction proved wrong.,Famous last words marks a bold statement that events immediately contradict.,It was one more case of a confident prediction proved entirely right.,"The phrase marks a prediction that fails, but the sentence describes one that succeeds."
far and away,The bag has been far and away the smallest in my lifetime.,The bag has been by a very large margin the smallest in my lifetime.,"Far and away means by a great degree, emphasising how much smaller the bag was.",The bag has been by the narrowest of margins the smallest in my lifetime.,"Far and away means by a large margin, but the sentence reduces it to a tiny difference."
fast and furious,"Despite the conditions, play was fast and furious in the opening stages.","Despite the conditions, play was rapid and intense in the opening stages.","Fast and furious means happening quickly and with great energy, describing the opening play.","Despite the conditions, play was slow and lethargic in the opening stages.","Fast and furious means rapid and energetic, but the sentence describes sluggish play."
feast or famine,"In terms of Parisian exhibitions, it often seems to be a case of feast or famine.","In terms of Parisian exhibitions, it often seems to be a case of far too much or far too little.","Feast or famine means alternating between excess and scarcity with no middle ground, describing the exhibition schedule.","In terms of Parisian exhibitions, it often seems to be a case of a steady and reliable supply.","Feast or famine means swinging between extremes, but the sentence describes consistent moderation."
feeding frenzy,"His feeding frenzy exhausted, he was torpid, unable to pay attention to the rat in her maze.","His bout of frantic consumption exhausted, he was torpid, unable to pay attention to the rat in her maze.","A feeding frenzy means a period of frantic, greedy consumption.","His bout of careful restraint exhausted, he was torpid, unable to pay attention to the rat in her maze.","The idiom means frantic gorging, but the sentence describes restraint, which would not exhaust anyone."
feel the pinch,And it's not only rail travellers who'll feel the pinch.,And it's not only rail travellers who'll suffer the financial strain.,"To feel the pinch means to experience financial hardship, which extends beyond rail travellers.",And it's not only rail travellers who'll enjoy the financial windfall.,"To feel the pinch means suffering financial hardship, but the sentence describes a financial gain."
few and far between,There are times when an item requires more thought but they should be few and far between.,There are times when an item requires more thought but they should be rare and infrequent.,"Few and far between means happening only occasionally, which is how often extra thought should be needed.",There are times when an item requires more thought but they should be constant and routine.,"Few and far between means rare, but the sentence describes such occasions as continual."
fight fire with fire,The official pronouncement was that they intended to fight fire with fire.,The official pronouncement was that they intended to respond using their opponents' own methods.,"To fight fire with fire means to counter an attack using the same tactics, which was the stated intention.",The official pronouncement was that they intended to respond using entirely opposite methods.,"To fight fire with fire means using the same methods as your opponent, but the sentence describes taking a contrary approach."
fight shy of,Are people fighting shy of certain parts of the world?,Are people deliberately avoiding certain parts of the world?,"To fight shy of something means to avoid it out of reluctance, which is what the question asks about.",Are people eagerly seeking out certain parts of the world?,"To fight shy of something means avoiding it, but the sentence describes actively pursuing it."
fight tooth and nail,Since its birth Israel has fought tooth and nail to survive … and expand.,Since its birth Israel has fought with every ounce of effort to survive … and expand.,"To fight tooth and nail means to struggle with maximum determination, describing the effort to survive.",Since its birth Israel has fought with only token effort to survive … and expand.,"To fight tooth and nail means fighting with full determination, but the sentence describes minimal effort."
fill someone's shoes,I am constantly conscious of my illustrious predecessors and daily find it difficult to fill their shoes.,I am constantly conscious of my illustrious predecessors and daily find it difficult to match their achievements.,"To fill someone's shoes means to perform as well as the person who held the role before, which the speaker finds hard.",I am constantly conscious of my illustrious predecessors and daily find it difficult to surpass their achievements.,"To fill someone's shoes means matching a predecessor, but the sentence sets the higher standard of exceeding them."
