idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
nothing to write home about,"Nothing to write home about, but I thought it looked nice.","not impressive or remarkable in any way, but I thought it looked nice.","To nothing to write home about means that the thing is not impressive or remarkable, which is in line with how speaker felt even though they felt it was nice.","Extremely impressive and remarkable, but I thought it looked nice.","To nothing to write home about means that the thing is not impressive or remarkable, but the context describes it as being extremely impressive and remarkable."
slow but sure,"With slow but sure movements, he edged across the finely-fitted hardwood floor towards the place of fire.","With slow but certain movements, he edged across the finely-fitted hardwood floor towards the place of fire.","Slow but sure means slow or incremental but yielding steady dependable progress, which is what he was doing as he edged across the floor.","With rapid and impulsive movements, he edged across the finely-fitted hardwood floor towards the place of fire.","Slow but sure means slow or incremental but yielding steady dependable progress, but in this context the movements were rapid and impulsive"
broad in the beam,"Ms. Lampton was maybe forty, broad in the beam but camouflaging it very skillfully.","Ms. Lampton was maybe forty, with wide hips and a large buttocks but camouflaging it very skillfully.","To be broad in the beam means to have wide hips or large buttocks, and this sentence describes a woman who has wide hips but is skilled at hiding it.","Ms. Lampton was maybe forty, with no hips and a small buttocks but camouflaging it very skillfully.","To be broad in the beam means to have wide hips or large buttocks, but this sentence describes a woman who does not have wide hips"
fun and games,"Being invisible was not all fun and games, as that incident had proved.”","Being invisible was not all just messing around and doing nothing, as that incident had proved","Fun and games means playing around and doing worthless things, which is the opposite of what being invisible entails. ","Being invisible was not all just hard work, as that incident had proved","Fun and games means playing around and doing worthless things, but the sentence describes being invisible as hard work"
in living memory,"It's the hottest summer in living memory and, - in these parts, that's a long, long time.","It's the hottest summer in recent history and, - in these parts, that's a long, long time.","In living memory means in a recent enough time as to be remembered by people who are alive today, which is the same as saying it's the hottest summer in recent history.","It's the hottest summer since time immemorial and, - in these parts, that's a long, long time.","In living memory means in a recent enough time as to be remembered by people who are alive today, but this context is talking about the hottest summer since time immemorial which is a much longer time period."
put your foot in it,"When you are hideous as him and romance strikes, the last thing you need is to open your mouth and put your foot in it.","When you are as ugly as him and romance strikes, the last thing you need is to open your mouth and mess it up by saying something stupid.","To put your foot in it means to say something foolish that could potentially mess something up, which is what the speaker is warning against.","When you are as ugly as him and romance strikes, the last thing you need is to open your mouth and make it better by saying something intelligent.","To put your foot in it means to say something foolish that could potentially mess something up, but in this context the speaker is warning against not saying something intelligent to make thoings better."
steal the show,"You are going to steal the show,I promised her.",I promised her that you would be the star and the most captivating performer.,"To steal the show means to be the star and the most captivating performer, which is what was promised in this context.",I promised her that you would be the worst and most boring performer.,"To steal the show means to be the star and the most captivating performer, but this context describes being the worst and most boring performer"
run riot,Working for him made her thoughts run riot with images of him.,Working for him made her thoughts run out of control with images of him.,"To run riot means to get out of control, which is what her thoughts did when she started working for him and thinking about him.",Working for him made her thoughts run in an orderly fashion with images of him.,"To run riot means to get out of control, but in this context her thoughts ran in an orderly fashion"
go down like a lead balloon,", Sophie rolling her eyes,'Oh, that news will go down like a lead balloon!","Sophie rolling her eyes,'Oh, that news will be an utter failure and will cause displeasure!","To go down like a lead balloon means to be an utter failure and cause displeasure, which is what Sophie is predicting the news will do.","Sophie rolling her eyes,'Oh, that news will be a great success and will cause people to be very pleased!","To go down like a lead balloon means to be an utter failure and cause displeasure, but in this sentence the news is predicted to be a great success"
think outside the box,think outside the box for once.,Consider new and innovative ideas for once.,"To think outside the box means to consider new and innovative ideas, which is what the speaker is suggesting.",Stick to traditional and outdated ideas for once.,"To think outside the box means to consider new and innovative ideas, but the speaker is suggesting sticking to traditional and outdated ideas"
let your hair down,"Because you're a smart, pretty woman who I suspect is a lot of fun once you let your hair down.","Because you're a smart, pretty woman who I suspect is a lot of fun once you stop worrying about being dignified or behaving correctly and just relax and enjoy yourself.","To let your hair down means to relax and enjoy yourself, which is what the speaker wants to do with the woman.","Because you're a smart, pretty woman who I suspect is a lot of fun once you start worrying about being dignified or behaving correctly without just relaxing or indulging in too much enjoyment.","To let your hair down means to relax and enjoy yourself, but in this context the speaker wants the woman to worry about being dignified"
go overboard,"You didn't have to go overboard, dammit.","You didn't have to do too much, dammit.","To go overboard means to do too much, and in this sentence the speaker is expressing their frustration that the other person did too much.","You didn't have to do anything at all, dammit.","To go overboard means to do too much, but in this sentence the speaker is expressing their frustration that the other person didn't do anything at all"
rub it in,"Sure, he snorted, just rub it in.","Sure, he snorted just to make me feel even worse about the already bad situation","To rub it in means to make someone feel worse about an already bad situation, and in this context the speaker is sarcastically agreeing that the other person will make him feel worse.","Sure ,he snorted just to make me feel even better about the already great situation","To rub it in means to make someone feel worse about an already bad situation, but in this context the speaker is saying he snoted just to make him feel better."
on cloud nine,I prance back over to my suitcase feeling like I'm on cloud nine.,I skip back over to my suitcase feeling delighted and extremely happy.,"To be on cloud nine is to be in a state of extreme euphoric happiness, which is how the person in this context feels.",I sluggishly walk back over to my suitcase feeling displeased and unhappy.,"To be on cloud nine is to be in a state of extreme euphoric happiness, but this context describes feeling the opposite i.e feeling displeased and unhappy"
teething troubles,"To be honest Carragher, its a bit embarrassing really but we are having it difficulties at the minute, there are a few teething troubles.","To be honest Carragher, its a bit embarrassing really but we are having some difficulties and problems in the early stages of a project, activity, etc.","Teething troubles are difficulties and problems experienced in the early stages of a project, and this context describes having those difficulties.","To be honest Carragher, its a bit embarrassing really but we are not having any difficulties or problems in the early stages of a project, activity, etc.","Teething troubles are difficulties and problems experienced in the early stages of a project, but this context describes not having any difficulties"
sitting duck,"Meanwhile, the j'd warrior was a sitting duck as malaki braced him against the turnbuckle.","Meanwhile, the j'd warrior was an easy target as malaki braced him against the turnbuckle.","A sitting duck is an easy target that is unprotected and vulnerable to attack, which is what the j'd warrior was in this context.","Meanwhile, the j'd warrior was a difficult target as malaki braced him against the turnbuckle.","A sitting duck is an easy target that is unprotected and vulnerable to attack, but in this context the j'd warrior was a difficult target"
get a handle on,I desperately wanted to hear their secret conversation and get a handle on who or what this biker was all about.,I desperately wanted to hear their secret conversation and have a firm clear understanding of who or what this biker was all about.,"To get a handle on something is to have a firm clear understanding of it, which is what the speaker wanted in this case.",I desperately wanted to hear their secret conversation and get confused about who or what this biker was all about.,"To get a handle on something is to have a firm clear understanding of it, but in this sentence the speaker wanted to get confused instead."
get in on the ground floor,I live for conspiracies and you're giving me a hundred thousand bucks to get in on the ground floor plus it's dangerous.,I love conspiracies and you're giving me a hundred thousand bucks to become involved in something from its very beginning plus it's dangerous.,"To get in on the ground floor means to become involved in something from its beginning, which is what the speaker plans to do with the money.",I love conspiracies and you're giving me a hundred thousand bucks to become involved in something from its very end plus it's dangerous.,"To get in on the ground floor means to become involved in something from its beginning, but in this sentence the speaker plans to become involved from the very end"
oil and water,We tried to work together but we're like oil and water.,We tried to work together but we're like two people who were incompatible and do not  mix together readily..,"Oil and water is an idiom that means two objects or elements that do not mix together readily, which is what the context is saying about the speaker and the other person they tried to work with.",We tried to work together but we're more compatible than ever.,"Oil and water is an idiom that means two objects or elements that do not mix together readily, but in this context they are more compatible than ever."
give the go ahead,She will start putting the showing together as soon as you give the go ahead.,She will start putting the showing together as soon as you give her permission to do so.,"To give the go ahead means to give permission to do something, which is what she needs in order to start putting the showing together.",She will start putting the showing together as soon as you tell her not to do so.,"To give the go ahead means to give permission to do something, but in this sentence telling her not to do it would be the opposite of giving her permission."
cut short,"Out,said heidi, wanting to cut short rico's panic.","Out, said Heidi, wanting to end abruptly Rico's panic.","To cut short means to end something abruptly, which is what Heidi wanted to do with Rico's panic.","Out, said Heidi, wishing to continue Rico's panic.","To cut short means to end something abruptly, but Heidi in this sentence wanted to continue Rico's panic"
old as the hills,"In fact, he acted like he didn't even notice my old as the hills shirt and holey sweats.","In fact, he acted like he didn't even notice my ancient and extremely old shirt and holey sweats.","To be old as the hills is to be very old, and in this context the speaker's shirt and sweats are old.","In fact, he acted like he didn't even notice my brand new and trendy shirt and holey sweats.","To be old as the hills is to be very old, but the context describes the shirt and sweats as brand new and trendy."
small print,"I find a tiny pen next to the sun, turn the scrap paper over, and start writing in very small print.","I find a tiny pen next to the sun, turn the scrap paper over, and start writing in very fine print.","The small print refers to the specific terms and conditions of an agreement which are often printed in very small type, hence writing in very small print would be the same as writing the small print.","I find a tiny pen next to the sun, turn the scrap paper over, and start writing in very large print.","The small print refers to the specific terms and conditions of an agreement which are often printed in very small type, but this context describes writing in very large print"
dead and buried,"The familiar, acrid scent triggered all sorts of emotions that were better left dead and buried deep inside me.","The familiar, acrid scent triggered all sorts of emotions that were better left forgotten and no longer relevant deep inside me.","To be dead and buried means to be forgotten, and in this sentence the emotions are better left forgotten and no longer relevant.","The familiar, acrid scent triggered all sorts of emotions that were better left remembered and still relevant deep inside me.","To be dead and buried means to be forgotten, but in this sentence the emotions are better left remembered and still relevant"
too clever by half,Howie's comment on that was too clever by half. ',Howie's comment on that was excessively clever to the point of being irritating.,"To be too clever by half is to be too contrived or arrogant in one's cleverness to the point of being irritating, which is what Howie's comment was.",Howie's comment on that was not clever enough and quite simpleminded.,"To be too clever by half is to be too contrived or arrogant in one's cleverness to the point of being irritating, but in this context Howie's comment was not clever enough"
cross swords,"How she wished for another chance to cross swords with him, especially now that she'd learned to decode the way he talked.","How she wished for another chance to fight or argue with him, especially now that she'd learned to decode the way he talked.","To cross swords means to fight or argue, and that is what she wished for in this sentence.","How she wished for another chance to have a peaceful converstation with him, especially now that she'd learned to decode the way he talked.","To cross swords means to fight or argue, but in this sentence she wished for a peaceful conversation instead."
be my guest,"Be my guest, I said.","Please, I said.","To be my guest is to encourage or allow someone else to take action, which is what the speaker is doing in this sentence.","You're not welcome, I said.","To be my guest is to encourage or allow someone else to take action, but the speaker is saying the opposite in this sentence."
run out of gas,"Dont run out of gas on the freeway, its dangerous, a lot of unsavory characters out here.","Don't get exhausted and lose your motivation on the freeway, its dangerous, a lot of unsavory characters out here.","To run out of gas means to lose one's energy or motivation, and in this context it is implied that it would be dangerous to do so on the freeway.","Don't be well-rested and motivated on the freeway, its dangerous, a lot of unsavory characters out here.","To run out of gas means to lose one's energy or motivation, but in this context it is implied that it would be safe to be well-rested and motivated on the freeway."
gone with the wind,You bunk with sharonette until ugly thing is gone with the wind as we southerns like to quote.,You bunk with sharonette until ugly thing is completely and permanently gone as we southerns like to quote.,"To be gone with the wind means to be permanently and completely gone, and in this context the ugly thing is being described as such.",You bunk with sharonette until ugly thing is still present and has not disappeared as we southerns like to quote.,"To be gone with the wind means to be permanently and completely gone, but in this context the ugly thing is still present and not disappeared."
get your teeth into,Immediately dismissing my wishes he sternly exclaimed I'd like you to get your teeth into this new project I'm developing.,Immediately dismissing my wishes he sternly exclaimed I'd like you to engage in this new project I'm developing.,To get one's teeth into something means to start doing or become involved in something with a lot of energy and enthusiasm.,Immediately dismissing my wishes he sternly exclaimed I'd like you to stop engaging in this new project I'm developing.,"To get one's teeth into something means to start doing or become involved in something with a lot of energy and enthusiasm, but in this sentence the speaker wants the person to stop"
dead as a dodo,It was dead as a dodo when I went to use it last night.,It was completely outdated and unpopular when I went to use it last night.,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.",It was extremely popular and up-to-date when I went to use it last night.,"To be dead as a dodo means to be outdated or unpopular, but in this sentence it was neither of those things when the speaker tried to use it last night."
run a mile,"There was something about callums behaviour that she didn't like, something in his grin that made her want to run a mile.","There was something about Callum's behaviour that she didn't like, something in his grin that made her want to flee the scene immediately.","To run a mile means to avoid something in any way possible, and in this context she wants to avoid him by fleeing the scene.","There was something about Callum's behaviour that she didn't like, something in his grin that made her want to stay and confront him.","To run a mile means to avoid something in any way possible, but the context describes wanting to stay and confront him"
miss the boat,Sometimes you miss the boat,Sometimes you lose the chance or opportunity to do something.,"To miss the boat means to lose the chance or opportunity to do something, which is what the context is saying.",Sometimes you have the chance or opportunity to do something.,"To miss the boat means to lose the chance or opportunity to do something, but the context says that sometimes you have the chance or opportunity to do something."
slip through the net,"Dee, as we are now obviously on first name terms, I'm not letting another spook slip through the net.","Dee, as we are now on first name terms, I'm not letting another spook get away unnoticed or undealt with. ","To slip through the net means to go unnoticed or undealt with, and in this context the speaker is saying that they will not let another spook go unnoticed.","Dee, as we are now on first name terms, I'm not letting another spook  be noticed and dealt with.","To slip through the net means to go unnoticed or undealt with, but in this context the speaker is saying that they will make sure another spook is noticed."
get away with murder,"She was a gangster's moll, a sugar-babe, a cutsie who could get away with murder.","She was a gangster's moll, a sugar-babe, a cutsie who could do whatever she wanted without any consequences.","To get away with murder means to avoid consequences, and in this sentence she is able to do whatever she wants without any consequences.","She was a gangster's moll, a sugar-babe, a cutsie who could not do anything without facing consequences.","To get away with murder means to avoid consequences, but in this sentence she is not able to do anything without facing consequences."
go spare,"If she didn't find some way to block out the cocky evil cat, she'd go spare.","If she didn't find some way to block out the cocky evil cat, she'd become extremely angry or irritated.","To go spare means to become very angry or irritated, and that is exactly what would happen if she didn't find a way to block out the cocky evil cat.","If she didn't find some way to block out the cocky evil cat, she'd become peaceful and calm.","To go spare means to become very angry or irritated, but the sentence describes the opposite reaction of becoming peaceful and calm."
on a silver platter,He ultimately handed me a job on a silver platter.,He ultimately handed me a job with no effort required on my part.,To hand someone a job on a silver platter means to give them the job without any effort required on their part.,He ultimately handed me a job after I put in a lot of hard work and dedication.,"To hand someone a job on a silver platter means to give them the job without any effort required on their part, but in this context the person receiving the job did put in a lot of effort"
burn the candle at both ends,Jon explained that marley and josh had started to burn the candle at both ends.,Jon explained that marley and josh had started to work extremely hard without taking any breaks.,"To burn the candle at both ends is to overwork oneself, and that is what Jon explained marley and josh had started to do.",Jon explained that marley and josh had started to relax and take it easy.,"To burn the candle at both ends is to overwork oneself, but the sentence describes taking it easy instead"
rub it in,"rub it in, why don't you ,he grumbled.","Make me feel even worse about the already bad situation, why don't you he grumbled.","To rub it in means to make someone feel worse about an already bad situation, and that is what the speaker is complaining about.","Don't try to make me feel better about the already bad situation, he grumbled.","To rub it in means to make someone feel worse about an already bad situation, but the speaker is asking for the opposite."
slap on the wrist,And you just give those two a slap on the wrist.,And you just give those two a very mild and inconsequential punishment or warning.,"A slap on the wrist is a very mild and inconsequential punishment, so the context is saying to give them a mild punishment.",And you just give those two a harsh and severe punishment or warning.,"A slap on the wrist is a very mild and inconsequential punishment, but the context is saying to give them a harsh punishment."
suck it up,"I'm torn between the desire to run-hightail it straight to memorial church, the nearest hallowed ground I can think of-or to suck it up and hear what he's going to say this time.","I'm stuck between the desire to run away quickly to memorial church, the nearest hallowed ground I can think of-or to endure and hear what he's going to say this time.","To suck it up means to endure something painful or unpleasant, and in this context the speaker is considering enduring the latter in order to hear what the other person has to say.","I'm stuck between the desire to run away quickly to memorial church, the nearest hallowed ground I can think of-or to not endure and not hear what he's going to say this time.","To suck it up means to endure something painful or unpleasant, but the speaker in this context is considering not enduring it in order to avoid hearing what the other person has to say."
thumb your nose at,Don't thumb your nose at the boss if you want to keep your job and get a better rating!,Don't show your contempt openly towards the boss if you want to keep your job and get a better rating!,"To thumb your nose at someone means to openly display contempt or lack of respect, which is the opposite of what the context is telling you to do.",Do show your respect openly towards the boss if you want to keep your job and get a better rating!.,"To thumb your nose at someone means to openly display contempt or lack of respect, but the context is telling you to show respect"
on edge,"Lawlessness prevailed, the kind of mind-sick violence that left people on edge .”","Lawlessness prevailed, the kind of mind-sick violence that left people tense, nervous and irritable.","To be on edge means to be tense, nervous and irritable, and in this context the people are left on edge because of the mind-sick violence.","Lawlessness prevailed, the kind of mind-sick violence that left people relaxed, content and pleased.","To be on edge means to be tense, nervous and irritable, but in this context the people are left relaxed, content and pleased"
give up the ghost,By this time the last batteries in their flashlight are about to give up the ghost.,By this time the last batteries in their flashlight are about to stop working and die.,"To give up the ghost means to stop working, and in this sentence the batteries are about to stop working.",By this time the last batteries in their flashlight are about to start working again and come back to life.,"To give up the ghost means to stop working, but in this sentence the batteries are about to start working again."
put your heads together,"When we get back to the point, you and oliver should put your heads together and come up with some suggestions for how to proceed from here.","When we get back to the point, you and Oliver should work collaboratively to come up with some suggestions for how to proceed from here.","To put your heads together means to work together to come up with an idea or solution, which is what they should do in this context.","When we get back to the point, you and Oliver should not work together and come up with some suggestions for how to proceed from here.","To put your heads together means to work together to come up with an idea or solution, but in this context they should not work together"
odd one out,Adrienne was the odd one out.,Adrienne was the one person who didn't fit in.,"To be the odd one out means to be different in comparison to others, and in this context Adrienne is the one person who is different.",Adrienne was the one person who fit in perfectly.,"To be the odd one out means to be different in comparison to others, but in this context Adrienne is the one person who is the same."
lend an ear,She appeared willing to lend an ear to listen.,She appeared willing to listen attentively when the other person is talking.,"To lend an ear means to listen to someone, which is what she appeared willing to do.",She appeared willing to not listen at all when the other person is talking.,"To lend an ear means to listen to someone, but in this context she appeared willing to not listen at all"
take it from me,Come take it from me.,Listen to me because I know from experience what I am talking about.,"To take it from me means to believe me because I have experience with what I am talking about, and in this context the speaker is saying that the listener should believe him because he knows from experience what he's talking about.",Don't listen to me because I have no idea what I am talking about.,"To take it from me means to believe me because I have experience with what I am talking about, but in this context the speaker is saying that the listener shouldn't believe him because he has no idea what he's talking about."
to a turn,Wendy had cooked dick hallorann's turkey to a turn and they had all eaten to bursting without even coming close to demolishing the jolly bird.,Wendy had cooked dick hallorann's turkey for the perfect amount of time and they had all eaten to bursting without even coming close to demolishing the jolly bird.,"To cook something to a turn means to cook it for exactly the right amount of time, which is what Wendy did.",Wendy had cooked dick hallorann's turkey for too long and they had all eaten to bursting without even coming close to demolishing the jolly bird.,"To cook something to a turn means to cook it for exactly the right amount of time, but in this context Wendy cooked it for too long"
cut a rug,Digger cut a rug with a chef and union organizer from the kitchen.,Digger danced energetically and lively with a chef and union organizer from the kitchen.,"To cut a rug means to dance in a lively and energetic way, and that is exactly what Digger did with the chef and union organizer.",Digger stood still like a statue with a chef and union organizer from the kitchen.,"To cut a rug means to dance in a lively and energetic way, but in this sentence Digger stood still instead"
up shit creek,"She said, you have to swipe your card to get into any public place, so if you lose that you're up shit creek.","She said, you have to swipe your card to get into any public place, so if you lose that you're in a very difficult and challenging situation.","To be up shit creek means to be in a difficult and challenging situation, and in this context the person is in a difficult situation because they will not be able to get into any public place if they lose their card.","She said, you don't have to swipe your card to get into any public place, so if you lose that you're not in any trouble at all.","To be up shit creek means to be in a difficult and challenging situation, but in this context the person is not in any trouble at all because they don't need a card to get into any public place."
get wind of,But then the paper would get wind of your bigamist marriage.,But then the paper would hear about your bigamist marriage.,"To get wind of something means to become aware of it, especially if it's being kept secret, and in this sentence the paper would become aware of the bigamist marriage.",But then the paper would not find out about your bigamist marriage.,"To get wind of something means to become aware of it, especially if it's being kept secret, but in this sentence the paper would not find out about the bigamist marriage."
hit the nail on the head,"They were unmoving, mainly because she had just hit the nail on the head.","They were not moving, mainly because she had just done the exact right thing.",To hit the nail means to do exactly the right thing.,"They were not moving, mainly because she had done something completely wrong and horrendous.","To hit the nail means to do exactly the right thing, but in this cotext she did something completely wrong"
let the cat out of the bag,My mother let the cat out of the bag about my intentions towards you.,My mother accidentally revealed my intentions towards you.,"To let the cat out of the bag means to reveal a secret by accident, which is what happened when my mother let slip my intentions.",My mother deliberately concealed my intentions towards you.,"To let the cat out of the bag means to reveal a secret by accident, but in this context my mother deliberately kept my intentions a secret."
show the flag,"My country is often a target for insults or gibes abroad, so whenever I go traveling I make a point of showing the flag for it.","Whenever I go traveling, I make it a point to defend and support my country by showing the flag for it when it is being insulted or made fun of. ","To show the flag means to stand up for support or defend someone or something, which is what the speaker is doing by showing the flag for their country.","Whenever I go traveling, I make it a point to not defend or support my country by showing the flag for it when it is being insulted or made fun of.","To show the flag means to stand up for support or defend someone or something, but in this context the speaker is not defending their country"
put your foot in it,You always manage to put your foot in it when it comes to women pat!,"You always manage to say something foolish, tactless, or offensive when it comes to women pat!","To put your foot in it means to say something foolish or offensive, which is what he always manages to do around women.","You always manage to say something wise, tactful, or inoffensive when it comes to women pat!.","To put your foot in it means to say something foolish or offensive, but in this context he manages to say something wise or inoffensive"
taste blood,"He could hear the screams of her victims, could smell burnt flesh and taste blood.","He could hear the screams of her victims, could smell burnt flesh and  feel triumphant over his opponent.","To taste blood means to feel triumphant over an opponent, and in this context he can hear the screams of her victims and smell burnt flesh which means she is winning.","He could hear the screams of her victims, could smell burnt flesh and  feel horror and pity for his opponent.","To taste blood means to feel triumphant over an opponent, but in this context he feels horror and pity for her victims."
be in hand,I hope your situation is in hand.,I hope your situation is under control.,"To be in hand means to be stable and controlled, which is what is hoped for in this sentence.",I hope your situation is out of control.,"To be in hand means to be stable and controlled, but this sentence describes a situation that is out of control."
off the cuff,"Speaking off the cuff without any calculations, firearms get hot anyway after firing multiple rounds.","Speaking extemporaneously and without any prior planning, firearms get hot anyway after firing multiple rounds.","To speak off the cuff is to speak without any prior planning or preparation, which is what the speaker did in this context.","Speaking after a lot of careful planning and forethought, firearms get hot anyway after firing multiple rounds.","To speak off the cuff is to speak without any prior planning or preparation, but the speaker in this context spoke after careful planning"
burn rubber,"Travis intended to burn rubber as he peeled away from the curb, but his foot wouldn't obey his command.","Travis intended to accelerate the car quickly as he peeled away from the curb, but his foot wouldn't obey his command.","To burn rubber means to accelerate the car quickly, which is what Travis intended to do but his foot wouldn't obey his command.","Travis intended to accelerate the car slowly as he peeled away from the curb, but his foot wouldn't obey his command.","To burn rubber means to accelerate the car quickly, but in this sentence Travis intended to go slow"
have a gift,I must have a gift for attracting these weirdos.,I seem to always attract these weirdos.,"To have a gift usually refers to having a talent or ability, and in this context the speaker has a talent for attracting weirdos.",I never attract these weirdos.,"To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos."
touch a nerve,Didn't mean to touch a nerve.,I didn't mean to say something that would make you so emotional.,"To touch a nerve means to evoke a strong emotional reaction, and in this context the speaker didn't mean to say something that would make the other person emotional.",I didn't mean to say something that would make you so cold-hearted.,"To touch a nerve means to evoke a strong emotional reaction, but in this context the speaker didn't mean to say something that would make the other person cold-hearted."
cut the mustard,She wouldn't have been able to cut the mustard in the talkies.,She wouldn't have been able to satisfactorily work or operate in the talkies.,"To cut the mustard means to work or operate in a satisfactory manner, which is what she would have been able to do in the talkies.",She wouldn't have been able to dissatisfactorily work or operate in the talkies.,"To cut the mustard means to work or operate in a satisfactory manner, but in this sentence she wouldn't have been able to do so"
go round in circles,"Funny thing, how things go round in circles...",It's amusing how things never change and just keep happening in the same way.,"To go round in circles means to waste time with trivial activities, and this sentence is saying how things never change and just keep happening in the same way.",It's amusing how things always change and just keep happening in different ways.,"To go round in circles means to waste time with trivial activities, but this sentence is saying how things always change and just keep happening in different ways."
an old flame,"Oh, you know how it is, mother, when you spend the night having sex with an old flame in public, you just glow a little bit more than usual.","Oh, you know how it is, mother, when you spend the night having sex with a former lover in public, you just glow a little bit more than usual.","An old flame is a former lover, so spending the night with a former lover would make sense and cause one to glow.","Oh, you know how it is, mother, when you spend the night having sex with an absolute stranger in public, you just glow a little bit more than usual.","An old flame is a former lover, but spending the night with an absolute stranger would not make sense and would not cause one to glow"
win the day,Min was glad that she had not let her inflexible will win the day.,Min was glad that she had not let her inflexible will succeed or be victorious.,"To win the day means to be successful, so in this context Min is glad that her inflexible will did not succeed.",Min was glad that she had not let her inflexible will fail or be defeated.,"To win the day means to be successful, but in this context Min is glad that her inflexible will did not fail"
lead to believe,"So I have been lead to believe, sir.","So I have been influenced to believe because of something heard, seen, or read, sir.","To lead to believe means to cause one to believe something, and in this context the person has been caused to believe something.","So I have been influenced to reject it because of something heard, seen, or read, sir.","To lead to believe means to cause one to believe something, but in this context the person has been caused to reject it."
go for the jugular,They're terrified of me because I go for the jugular.,They're terrified of me because I attack in the most aggressive way possible or where the victim is most vulnerable.,"To go for the jugular means to attack in the most aggressive way possible, which is why they're terrified of the speaker.",They're terrified of me because I do not attack in the most peaceful way possible or where the victim is least vulnerable.,"To go for the jugular means to attack in the most aggressive way possible, but the speaker is not attacking in the most aggressive way"
go the distance,"If I continue to go the distance for her, our relationship will be fine.","If I continue to stand by her and not give up, our relationship will be fine.","To go the distance means to persist with some activity or goal until its completion, which in this case is continuing to stand by her and not give up.","If I continue to give up easily on her, our relationship will be fine.","To go the distance means to persist with some activity or goal until its completion, but this sentence describes giving up easily which is the opposite of persisting."
add insult to injury,"To add insult to injury, a boy was leading a handsome sheep on a string behind him.","To make things worse, a boy was leading a handsome sheep on a string behind him.","To add insult to injury means to make a bad situation worse, and in this sentence the boy leading the sheep makes the situation worse.","In order to make things a lot better, a boy was leading a handsome sheep on a string behind him.","To add insult to injury means to make a bad situation worse, but in this sentence the boy leading the sheep makes the situation better."
bear fruit,"Once we commit to a significant response, it needs to bear fruit.","Once we commit to a significant response, it needs to be successful.","To bear fruit means to yield results, so in this sentence a significant response needs to be successful.","Once we commit to a significant response, it needs to fail.","To bear fruit means to yield results, but in this sentence a significant response needs to fail."
bear in mind,"I do bear that in mind, doctor.","I do remember and take into consideration, doctor.","To bear in mind means to remember and consider something when making a decision or before taking action, which is what the speaker is doing.","I do not remember and do not take that into consideration, doctor.","To bear in mind means to remember and consider something when making a decision or before taking action, but the speaker is not doing that in this sentence."
for a song,They bought it for a song because no one else would have it.,They bought it for an absurdly low price as no one else would have it.,"To buy something for a song means to buy it for a very low price, and this is what happened as no one else would have it.",They bought it for an expensive price as no one else would have it.,"To buy something for a song means to buy it for a very low price, but the sentence describes buying it for an expensive price"
throw down the gauntlet,"No wonder Lestat had chosen this place to throw down the gauntlet, in the main, these pampered children were good.","No wonder Lestat had chosen this place to offer a challenge or invitation for an argument or competition, in the main, these pampered children were good.","To throw down the gauntlet means to issue a challenge or invitation, and in this context Lestat is issuing a challenge to the pampered children.","No wonder Lestat had chosen this place to not offer a challenge or invitation for an argument or competition, in the main, these pampered children were good.","To throw down the gauntlet means to issue a challenge or invitation, but in this context Lestat is not issuing a challenge"
bang for the buck,"All lightweight, the small packets provided the best bang for the buck.","All lightweight, the small packets provided the best value in terms of what was paid.","To have a lot of bang for the buck means to have a lot of value for little cost, and this sentence is an example of that.","All lightweight, the small packets provided the worst value in terms of what was paid.","To have a lot of bang for the buck means to have a lot of value for little cost, but this sentence describes the opposite by having little value for what was paid."
rule of thumb,Johnson had a rule of thumb.,Johnson had a general guideline that he developed through experience rather than research.,"A rule of thumb is a general principle that is developed through experience rather than scientific study, which is what Johnson did.",Johnson had a general guideline that he developed through research and scientific study rather than experience.,"A rule of thumb is a general principle that is developed through experience rather than scientific study, but in this context Johnson developed the guideline through research"
off the record,Can we talk off the record?”,Can we talk in unofficially and informally in confidence?”,"To talk off the record is to talk informally and in confidence, without it being recorded for official publication.",Can we talk for officially and publicly?.,"To talk off the record is to talk informally and in confidence, but this context describes talking for official publication."
in cahoots,Momma and Emma were in cahoots to try to fatten the girl up.,Momma and Emma were working together closely and secretively to try to fatten the girl up.,"To be in cahoots means to be working together closely and often secretive or conspiratorial, which is what Momma and Emma were doing to try to fatten the girl up.",Momma and Emma were not working together at all to try to fatten the girl up.,"To be in cahoots means to be working together closely and often secretive or conspiratorial, but in this context Momma and Emma were not working together at all"
take a powder,If henry intended something like that victor was going to take a powder.,If henry intended something like that victor was going to make a quick departure.,"To take a powder means to leave, and in this context victor is going to make a quick departure.",If henry intended something like that victor was going to stay and not leave.,"To take a powder means to leave, but in this context victor is going to stay instead of leaving."
chew the cud,"However I've been chewing my cud, so I still haven't decided whether I'm taking the job or not.","I've been thinking about this for days, so I still haven't decided whether I'm taking the job or not.","To chew the cud means to contemplate something, and in this sentence the speaker has been thinking about the job for days.","I've been thinking about this for minutes, so I still haven't decided whether I'm taking the job or not.","To chew the cud means to contemplate something, but in this sentence the speaker has only been thinking about the job for minutes"
